POA_CODE_2016,RA_NAME_2016,Tot_P_P,STEM_Tot,P_Tot_Tot,STEM_Pct,Wkly_Hhd_Inc,Secondary_Tot_P,Secondary_Pct,Tec_Furt_Educ_inst_Tot_P,TAFE_Pct,Uni_other_Tert_Instit_Tot_P,Uni_Pct,Y12_Comp_Pct,Indigenous_Pct
POA2548,Outer Regional Australia,7734,774,4111,18.82753587934809,1009,355,4.590121541246444,108,1.3964313421256789,116,1.499870700801655,41.090466037161136,1.8748383760020688
POA2550,Outer Regional Australia,15858,1776,7908,22.458270106221548,1018,996,6.280741581536133,227,1.4314541556312272,257,1.6206331189305083,39.24202446629887,3.279102030520873
POA2571,Inner Regional Australia,11850,1538,5664,27.153954802259886,2059,884,7.459915611814346,203,1.7130801687763713,357,3.0126582278481013,45.14153668399769,2.818565400843882
POA2573,Inner Regional Australia,5067,534,2239,23.849933005806164,1403,316,6.236431813696467,88,1.7367278468521807,128,2.5261495954213538,34.444736151220795,4.479968423130058
POA2574,Inner Regional Australia,5741,740,2527,29.28373565492679,1578,412,7.176450095802125,111,1.9334610695000871,122,2.1250653196307265,33.81978225619643,3.518550775126285
POA2575,Inner Regional Australia,15476,1687,7660,22.02349869451697,1381,1183,7.644094081157922,284,1.8350995089170328,341,2.2034117342982684,43.07381193124368,2.7978805892995604
POA2576,Inner Regional Australia,13431,1400,7554,18.533227429176595,1371,866,6.447770084133721,148,1.1019283746556474,328,2.442111533020624,55.85793357933579,0.9679100588191497
POA2577,Inner Regional Australia,15414,1734,7987,21.710279203706023,1312,1114,7.2271960555339305,267,1.732191514207863,325,2.1084728169196834,45.56296914095079,2.1863241209290254
POA2580,Inner Regional Australia,29224,2800,14122,19.82721994051834,1205,1710,5.851355050643307,607,2.077059950725431,617,2.1112784013139887,36.55414786532454,3.9419655078018065
POA2582,Inner Regional Australia,12442,1472,6164,23.880597014925375,1778,917,7.370197717408777,234,1.8807265712907892,365,2.933611959492043,52.16647052530224,2.8050152708567753
POA2590,Inner Regional Australia,7093,707,3095,22.84329563812601,910,357,5.033131256168053,125,1.7623008600028196,98,1.3816438742422106,31.66023166023166,5.582969124488932
POA2594,Inner Regional Australia,11672,1132,4782,23.67210372229193,983,790,6.768334475668266,225,1.9276901987662782,166,1.4222069910897874,32.178274250541435,4.095270733379027
POA2621,Inner Regional Australia,6056,779,3262,23.881054567749846,2457,487,8.041611624834875,120,1.9815059445178336,199,3.285997357992074,61.69590643274854,2.1136063408190227
POA2630,Inner Regional Australia,8691,1055,4451,23.70253875533588,1078,494,5.684040961914624,169,1.9445403290760557,175,2.013577263836152,39.63693539165237,3.095155908411
POA2640,Inner Regional Australia,36343,3581,18135,19.746346843121035,1313,2420,6.658778857001348,782,2.151721101725229,1380,3.7971548853974633,47.121763321206934,2.308560107861211
POA2641,Inner Regional Australia,15070,1403,6620,21.19335347432024,950,848,5.627073656270737,434,2.8798938287989384,336,2.229595222295952,32.81947603403252,3.84870603848706
POA2646,Inner Regional Australia,6758,805,2998,26.85123415610407,1027,396,5.859721811186741,130,1.9236460491269607,92,1.361349511689849,30.90096798212956,1.7016868896123114
POA2650,Inner Regional Australia,56974,5687,26614,21.36845269407079,1349,3927,6.8926176852599434,1377,2.416891915610629,2571,4.512584687752308,45.236772670462436,5.6868045073191285
POA2663,Inner Regional Australia,5186,385,2676,14.387144992526158,1101,233,4.492865406864635,84,1.6197454685692247,73,1.407635942923255,23.72070779531325,8.638642499035866
POA2666,Outer Regional Australia,5673,591,2285,25.86433260393873,1045,374,6.592631764498502,101,1.7803631235677773,73,1.2867971091133439,29.26829268292683,2.379693283976732
POA2680,Outer Regional Australia,23940,2205,9915,22.239031770045386,1334,1520,6.349206349206349,447,1.8671679197994988,358,1.495405179615706,35.56425381774078,4.895572263993317
POA2705,Outer Regional Australia,10153,1059,4247,24.935248410642807,1202,734,7.229390327981878,170,1.674381956072097,126,1.2410125086181425,29.823422487665542,5.72244656751699
POA2710,Inner Regional Australia,10123,1041,4485,23.210702341137125,1050,575,5.6801343475254376,163,1.6101946063419934,121,1.1952978366097007,32.328015952143566,3.9909117850439593
POA2720,Inner Regional Australia,8012,914,3590,25.459610027855152,1146,465,5.803794308537194,179,2.234148776834748,109,1.3604593110334497,30.895091434071222,4.331003494757863
POA2731,Inner Regional Australia,6410,636,2812,22.617354196301566,1148,372,5.803432137285491,86,1.3416536661466458,99,1.5444617784711387,34.679007483261124,3.7285491419656784
POA2758,Inner Regional Australia,8715,1162,4672,24.871575342465754,2032,673,7.722317842799771,196,2.248995983935743,278,3.1899024670109006,45.9737548464062,2.3407917383820998
POA2790,Inner Regional Australia,15767,1877,7483,25.083522651343046,975,839,5.3212405657385675,348,2.20714149806558,265,1.680725566055686,29.73419314249764,5.670070400202955
POA2794,Inner Regional Australia,10428,1017,4383,23.20328542094456,968,569,5.456463367855773,207,1.9850402761795167,140,1.3425393172228615,29.37046004842615,8.275795934023781
